Product ID,Product Name,Product Price,Unit Price,Date of Transaction,Hour of Transaction,Country
10,Long Sleeve Shirt,18,53.68,2020-10-08,00:51,Norway
4,Sneakers,9,93.32,2020-08-29,15:27,Hungary
7,Sports Shoes,10,15.4,2020-07-29,13:46,Czech Republic
7,Dress Shoes,16,57.49,2020-01-15,18:35,Latvia
6,Dress Shirt,19,72.26,2020-07-10,00:16,Austria
7,Polo Shirt,3,22.48,2020-08-02,07:21,Latvia
4,Dress Pants,12,58.46,2020-05-25,21:29,Czech Republic
7,Dress Shoes,8,35.22,2020-07-08,16:22,Italy
2,Jeans,3,30.07,2020-06-03,13:59,Germany
9,Sneakers,18,88.75,2020-04-24,19:57,Austria
1,Jeans,4,77.97,2020-01-26,22:36,Finland
10,Polo Shirt,10,95.27,2020-09-06,06:52,Romania
3,Sports Shoes,10,16.45,2020-03-19,04:42,Malta
1,Long Sleeve Shirt,3,24.13,2020-05-10,17:26,Bulgaria
5,Casual Shoes,9,46.8,2020-06-16,01:01,Belgium
10,Dress Shirt,17,82.89,2020-05-25,07:48,Slovenia
5,Dress Shirt,6,91.7,2020-04-29,22:21,Latvia
4,Long Sleeve Shirt,9,72.43,2020-02-23,12:56,Hungary
7,Dress Shoes,17,28.3,2020-04-15,07:59,Austria
3,Dress Pants,12,83.83,2020-06-02,09:21,Denmark
9,Long Sleeve Shirt,15,79.9,2020-10-21,03:27,Netherlands
9,Long Sleeve Shirt,1,86.54,2020-06-02,19:57,Bulgaria
1,Sneakers,4,55.13,2020-11-12,15:34,Cyprus
2,Long Sleeve Shirt,14,82.49,2020-02-18,08:54,Slovakia
2,Long Sleeve Shirt,14,94.56,2020-10-20,07:31,Ireland
4,Jeans,4,52.58,2020-08-18,18:50,Bulgaria
6,Sneakers,9,35.98,2020-10-12,16:23,Sweden
9,Dress Pants,19,35.55,2020-06-29,18:13,Liechtenstein
3,Sweatpants,10,81.58,2020-02-18,16:28,Norway
8,Polo Shirt,15,91.68,2020-02-20,22:19,Romania
7,Sports Shoes,19,77.44,2020-04-21,01:14,Portugal
7,Dress Pants,7,17.71,2020-04-21,11:01,Malta
8,Long Sleeve Shirt,20,78.36,2020-06-26,13:34,Estonia
3,Sweatpants,14,96.25,2020-08-23,23:40,Sweden
7,Long Sleeve Shirt,2,66.55,2020-09-09,20:13,Estonia
1,Long Sleeve Shirt,6,47.76,2020-02-06,22:39,Hungary
7,Casual Shoes,7,34.94,2020-05-17,05:11,Romania
4,Long Sleeve Shirt,14,15.64,2020-05-12,07:52,Croatia
9,Dress Shoes,15,97.53,2020-11-06,20:26,Cyprus
6,Casual Shoes,1,39.64,2020-07-15,08:58,Estonia
7,Dress Shirt,2,93.69,2020-04-17,04:00,Latvia
7,Long Sleeve Shirt,2,90.5,2020-06-22,06:30,Belgium
4,Jeans,1,25.88,2020-07-31,23:37,Latvia
2,Polo Shirt,19,25.0,2020-08-08,23:16,Latvia
2,Dress Pants,14,34.32,2020-09-08,04:33,Denmark
8,Jeans,14,70.03,2020-02-11,07:49,Sweden
10,Sneakers,19,65.16,2020-04-18,13:31,Cyprus
1,Jeans,3,11.25,2020-02-04,09:44,Hungary
8,Dress Shirt,2,94.36,2020-06-26,15:53,Iceland
8,Casual Shoes,5,88.51,2020-03-06,20:27,Malta
7,Sneakers,6,22.82,2020-07-08,21:52,Lithuania
1,Long Sleeve Shirt,11,47.27,2020-08-22,12:51,Italy
6,Dress Pants,11,84.49,2020-06-28,00:16,Sweden
5,Casual Shoes,16,69.63,2020-03-15,00:14,Malta
4,Sweatpants,14,82.58,2020-03-09,03:57,Hungary
10,Jeans,6,72.65,2020-04-11,02:09,Spain
10,Dress Shirt,17,49.85,2020-11-23,06:43,Belgium
10,Sports Shoes,11,53.83,2020-11-12,06:27,Czech Republic
7,Sports Shoes,16,70.62,2020-12-14,09:45,Denmark
2,Sports Shoes,13,78.94,2020-12-10,08:53,Bulgaria
6,Sneakers,6,45.89,2020-06-04,02:25,Norway
6,Polo Shirt,19,29.8,2020-10-11,23:20,Liechtenstein
10,Polo Shirt,4,17.34,2020-03-07,05:00,Greece
10,Sneakers,14,13.7,2020-04-13,22:39,Ireland
10,Long Sleeve Shirt,20,72.19,2020-01-21,23:25,Portugal
8,Dress Shoes,2,78.16,2020-07-20,09:52,Sweden
9,Polo Shirt,15,53.73,2020-04-05,14:12,Luxembourg
4,Polo Shirt,11,34.67,2020-06-06,10:04,Romania
10,Long Sleeve Shirt,11,34.73,2020-01-24,15:52,Spain
4,Long Sleeve Shirt,16,69.4,2020-03-24,08:18,Spain
10,Sweatpants,3,78.26,2020-03-20,02:57,Estonia
10,Casual Shoes,20,80.78,2020-10-16,17:50,Slovakia
3,Sweatpants,10,50.49,2020-02-26,22:48,Latvia
10,Dress Shirt,16,91.32,2020-07-07,09:13,Latvia
4,Sneakers,4,75.17,2020-08-08,01:46,Hungary
7,Polo Shirt,10,40.53,2020-03-24,06:08,Iceland
6,Sneakers,13,86.89,2020-12-07,02:48,Norway
4,Sports Shoes,14,57.1,2020-12-11,03:16,Bulgaria
3,Sneakers,11,48.73,2020-12-15,08:33,Liechtenstein
10,Casual Shoes,4,69.21,2020-06-02,21:08,Hungary
7,Dress Pants,7,66.64,2020-10-12,18:00,Bulgaria
1,Casual Shoes,4,82.14,2020-09-16,18:19,Malta
1,Casual Shoes,1,78.65,2020-09-29,00:29,Portugal
6,Polo Shirt,20,88.77,2020-06-12,01:52,Portugal
8,Sneakers,1,27.12,2020-11-21,02:37,Malta
4,Dress Shoes,15,71.7,2020-04-04,10:18,Belgium
7,Sneakers,20,84.01,2020-01-23,06:49,Latvia
7,Sneakers,18,80.44,2020-05-30,16:12,Portugal
7,Sneakers,9,74.79,2020-03-09,11:53,Luxembourg
10,Long Sleeve Shirt,20,29.88,2020-07-22,13:33,Estonia
10,Polo Shirt,2,58.07,2020-07-01,17:56,Sweden
3,Polo Shirt,1,40.94,2020-07-24,04:56,Italy
3,Dress Shoes,18,11.07,2020-04-04,17:42,Hungary
9,Polo Shirt,19,17.56,2020-07-03,10:31,Czech Republic
7,Casual Shoes,8,35.09,2020-03-09,07:31,France
6,Sweatpants,3,69.11,2020-08-31,06:16,Malta
7,Sweatpants,3,13.26,2020-09-26,12:42,Estonia
10,Dress Shirt,1,87.88,2020-03-18,16:15,Luxembourg
4,Dress Shoes,2,53.39,2020-10-07,20:49,Latvia
8,Dress Shirt,17,89.9,2020-05-24,01:41,Greece
4,Dress Pants,14,99.21,2020-05-24,03:58,Bulgaria
7,Jeans,19,70.88,2020-08-20,08:08,Luxembourg
4,Sneakers,7,95.73,2020-01-06,01:36,Spain
3,Sweatpants,6,30.07,2020-06-22,03:38,Belgium
6,Polo Shirt,5,33.04,2020-03-07,10:59,Czech Republic
7,Long Sleeve Shirt,1,98.57,2020-07-25,10:09,Liechtenstein
3,Polo Shirt,16,68.98,2020-04-14,13:08,Bulgaria
1,Casual Shoes,13,35.81,2020-09-17,17:03,Croatia
6,Jeans,11,43.72,2020-11-17,09:28,Luxembourg
1,Dress Pants,18,25.14,2020-08-23,08:17,Iceland
9,Jeans,19,50.0,2020-11-23,13:55,Austria
9,Polo Shirt,11,42.99,2020-11-08,23:35,Czech Republic
1,Sweatpants,9,33.36,2020-06-17,03:23,Bulgaria
2,Long Sleeve Shirt,14,52.14,2020-09-22,19:29,Norway
9,Long Sleeve Shirt,15,35.2,2020-01-13,16:23,Italy
8,Polo Shirt,4,68.66,2020-05-02,09:00,Poland
2,Jeans,19,96.16,2020-03-29,18:45,Slovakia
9,Dress Shoes,5,20.12,2020-08-30,05:36,Netherlands
2,Sports Shoes,1,93.08,2020-09-16,19:43,Italy
7,Jeans,1,44.93,2020-08-20,11:58,Hungary
10,Casual Shoes,18,65.46,2020-09-29,20:35,Belgium
1,Sneakers,4,66.33,2020-07-16,00:51,Portugal
6,Long Sleeve Shirt,10,73.74,2020-10-01,07:38,Cyprus
6,Polo Shirt,20,22.39,2020-01-14,23:41,Sweden
8,Casual Shoes,19,54.0,2020-11-26,21:10,Denmark
7,Dress Shoes,20,95.53,2020-09-20,20:14,Austria
7,Sneakers,12,58.29,2020-01-27,17:20,Poland
1,Sports Shoes,4,58.25,2020-08-22,12:40,Malta
7,Long Sleeve Shirt,12,75.7,2020-06-21,05:10,Belgium
10,Polo Shirt,14,44.69,2020-09-15,00:46,Portugal
1,Sweatpants,15,27.93,2020-06-09,18:48,Hungary
2,Long Sleeve Shirt,3,80.65,2020-10-14,23:51,Iceland
6,Dress Shoes,4,18.14,2020-12-17,01:18,Czech Republic
8,Sports Shoes,9,60.07,2020-12-22,02:45,Germany
6,Jeans,17,10.78,2020-02-18,19:43,Luxembourg
9,Dress Pants,9,62.61,2020-09-30,13:50,Denmark
10,Long Sleeve Shirt,15,12.0,2020-06-09,13:02,Poland
3,Polo Shirt,8,39.38,2020-05-26,09:32,Spain
10,Jeans,7,55.65,2020-03-06,18:23,Croatia
4,Sneakers,4,79.47,2020-01-07,21:39,Hungary
6,Polo Shirt,3,39.47,2020-02-19,11:01,Germany
2,Dress Shoes,2,64.7,2020-11-04,00:16,Iceland
6,Dress Shoes,9,84.57,2020-09-19,02:32,Finland
4,Dress Shoes,3,69.06,2020-09-16,05:05,Slovakia
1,Dress Shirt,7,99.07,2020-12-23,00:40,Germany
6,Casual Shoes,11,97.01,2020-08-23,14:25,Poland
10,Polo Shirt,6,82.28,2020-01-31,13:42,Bulgaria
4,Sneakers,1,40.29,2020-11-26,05:40,Czech Republic
6,Polo Shirt,2,58.76,2020-08-02,03:20,Bulgaria
7,Dress Shirt,14,91.15,2020-02-16,12:56,Czech Republic
7,Polo Shirt,16,39.78,2020-12-10,19:17,Sweden
1,Polo Shirt,19,96.4,2020-06-19,12:41,Romania
8,Dress Shoes,6,16.87,2020-07-31,23:59,France
7,Sweatpants,19,15.72,2020-06-30,06:22,Denmark
1,Dress Pants,14,28.56,2020-02-26,10:21,Bulgaria
6,Long Sleeve Shirt,11,40.43,2020-12-04,17:47,Cyprus
7,Sneakers,3,15.38,2020-03-20,01:21,Greece
6,Jeans,4,36.35,2020-03-08,15:11,France
2,Dress Pants,18,76.67,2020-12-19,01:18,Croatia
1,Sports Shoes,14,26.21,2020-12-04,09:02,Romania
10,Sweatpants,10,75.0,2020-01-17,11:09,Liechtenstein
8,Sweatpants,6,71.61,2020-04-14,14:19,Lithuania
2,Dress Pants,20,83.59,2020-11-03,18:45,Greece
4,Long Sleeve Shirt,13,27.14,2020-04-18,19:03,Hungary
6,Sports Shoes,19,74.85,2020-11-26,11:19,Belgium
3,Polo Shirt,6,26.92,2020-08-08,16:22,Latvia
5,Sweatpants,6,37.38,2020-08-21,21:12,Ireland
7,Sweatpants,12,69.91,2020-01-08,22:39,Netherlands
8,Sweatpants,18,92.17,2020-08-07,15:41,Portugal
2,Jeans,2,24.31,2020-05-04,14:31,Netherlands
9,Casual Shoes,19,54.89,2020-07-21,17:40,Ireland
8,Polo Shirt,19,27.63,2020-07-02,10:20,Poland
7,Dress Shirt,7,63.05,2020-10-14,21:58,Norway
7,Long Sleeve Shirt,7,52.75,2020-11-15,03:15,Netherlands
7,Sports Shoes,18,82.33,2020-04-12,09:18,Estonia
1,Long Sleeve Shirt,5,38.82,2020-03-06,11:04,Germany
7,Sports Shoes,1,40.73,2020-10-10,11:38,Poland
8,Dress Shirt,15,43.93,2020-09-26,16:02,Italy
5,Casual Shoes,16,45.6,2020-09-23,09:27,Iceland
8,Dress Pants,20,55.25,2020-02-22,13:22,Denmark
4,Sweatpants,1,30.62,2020-08-07,17:18,Slovakia
4,Dress Shoes,5,81.83,2020-12-22,03:27,Romania
3,Casual Shoes,6,68.59,2020-11-01,23:15,Croatia
2,Long Sleeve Shirt,18,68.99,2020-03-04,02:11,Croatia
3,Sneakers,19,93.25,2020-10-14,02:45,Belgium
3,Sports Shoes,5,65.86,2020-10-13,05:34,Belgium
9,Dress Shirt,5,89.03,2020-12-09,08:56,Malta
1,Dress Shirt,4,33.61,2020-12-09,15:14,Croatia
4,Sports Shoes,5,23.17,2020-09-03,04:11,Greece
6,Dress Pants,1,52.46,2020-08-28,04:54,Denmark
1,Long Sleeve Shirt,17,44.52,2020-08-13,13:37,Iceland
6,Sports Shoes,13,91.97,2020-08-13,19:07,Denmark
1,Sports Shoes,1,72.64,2020-03-09,08:35,Austria
8,Long Sleeve Shirt,20,94.14,2020-11-02,11:29,Romania
5,Jeans,3,89.88,2020-11-01,16:37,Croatia
7,Long Sleeve Shirt,9,92.65,2020-08-02,23:41,Iceland
10,Long Sleeve Shirt,6,98.43,2020-08-18,01:46,Portugal
10,Jeans,11,97.58,2020-03-30,16:09,Sweden
7,Jeans,14,82.92,2020-05-16,16:22,Ireland
1,Dress Shirt,10,91.47,2020-07-18,22:41,Croatia
8,Dress Shirt,8,33.39,2020-05-30,00:52,Latvia
7,Sweatpants,14,90.15,2020-06-20,20:11,Ireland
5,Sneakers,19,73.21,2020-09-07,00:59,Netherlands
1,Sweatpants,15,27.42,2020-10-20,09:23,Poland
7,Dress Pants,2,40.32,2020-07-16,21:17,Lithuania
10,Long Sleeve Shirt,20,93.5,2020-12-12,10:34,Belgium
9,Polo Shirt,20,73.84,2020-01-15,20:12,Croatia
5,Long Sleeve Shirt,10,31.61,2020-06-05,11:32,Italy
6,Sports Shoes,5,49.54,2020-12-31,12:40,Romania
7,Sports Shoes,1,68.19,2020-09-28,23:03,Norway
8,Sneakers,16,38.88,2020-03-06,16:28,Germany
8,Sports Shoes,6,63.92,2020-02-12,02:15,Lithuania
3,Casual Shoes,20,11.54,2020-01-25,20:08,Italy
2,Jeans,20,33.95,2020-08-09,06:05,Croatia
7,Casual Shoes,8,83.47,2020-09-02,09:08,Romania
10,Casual Shoes,17,49.7,2020-10-04,15:45,Liechtenstein
9,Jeans,16,99.62,2020-10-29,03:14,Malta
6,Dress Shirt,6,13.29,2020-02-14,16:49,Norway
2,Sports Shoes,14,68.16,2020-11-15,04:40,Ireland
1,Jeans,13,68.67,2020-05-19,13:32,Netherlands
9,Jeans,14,21.84,2020-08-03,19:16,Czech Republic
1,Dress Pants,13,88.71,2020-08-11,11:38,Portugal
3,Casual Shoes,15,54.64,2020-01-11,15:40,Spain
8,Dress Shoes,1,78.96,2020-08-14,23:52,Hungary
5,Sports Shoes,14,76.77,2020-01-08,21:48,Sweden
6,Polo Shirt,13,71.87,2020-05-28,11:44,Italy
7,Sweatpants,7,35.77,2020-02-13,13:29,Germany
1,Sports Shoes,13,92.43,2020-05-05,06:42,Lithuania
8,Casual Shoes,12,95.49,2020-09-18,05:11,Netherlands
7,Long Sleeve Shirt,10,11.53,2020-04-13,06:06,Germany
10,Jeans,7,87.99,2020-10-02,13:04,Ireland
10,Dress Shirt,16,55.61,2020-08-30,06:35,Latvia
8,Polo Shirt,15,76.58,2020-12-21,14:22,Norway
7,Jeans,16,44.35,2020-11-03,16:41,Poland
1,Sneakers,14,38.55,2020-12-09,23:04,Ireland
2,Dress Shirt,9,88.84,2020-11-28,04:46,Cyprus
3,Sweatpants,5,53.09,2020-04-02,15:05,Liechtenstein
3,Dress Shirt,1,16.34,2020-12-13,04:40,Croatia
7,Dress Shirt,20,37.47,2020-02-16,00:49,Malta
10,Dress Shoes,9,64.83,2020-02-07,21:54,Cyprus
5,Long Sleeve Shirt,12,74.59,2020-11-08,02:12,Lithuania
4,Jeans,4,77.74,2020-02-03,22:45,Germany
10,Long Sleeve Shirt,20,33.06,2020-06-27,01:06,Slovenia
6,Sweatpants,3,70.51,2020-01-23,03:29,Croatia
3,Sports Shoes,5,92.94,2020-02-23,05:35,Latvia
10,Dress Shirt,11,24.48,2020-05-27,12:37,Romania
9,Sports Shoes,5,95.56,2020-03-30,20:35,Italy
1,Dress Pants,19,78.09,2020-07-27,20:29,Poland
8,Jeans,16,36.72,2020-01-02,20:39,Latvia
9,Polo Shirt,1,31.64,2020-04-10,00:42,Ireland
6,Jeans,18,77.64,2020-01-05,06:28,Spain
8,Dress Shoes,18,41.49,2020-03-20,17:53,Ireland
9,Dress Pants,20,58.82,2020-10-27,22:07,Belgium
1,Sports Shoes,6,57.4,2020-08-31,15:37,Slovakia
1,Sneakers,9,19.31,2020-02-09,17:27,Lithuania
7,Jeans,5,97.13,2020-08-04,05:42,Belgium
3,Dress Shirt,12,25.39,2020-05-23,23:50,Austria
8,Polo Shirt,9,98.72,2020-11-14,11:55,Belgium
1,Long Sleeve Shirt,9,71.01,2020-12-23,00:25,Cyprus
3,Polo Shirt,3,58.85,2020-08-10,18:16,Croatia
1,Sweatpants,18,88.68,2020-11-09,04:25,Belgium
7,Sweatpants,2,36.87,2020-10-26,17:52,Liechtenstein
4,Sweatpants,3,56.48,2020-03-22,14:18,France
2,Casual Shoes,16,17.65,2020-01-31,03:47,Cyprus
3,Polo Shirt,13,91.96,2020-03-31,08:32,Estonia
1,Sweatpants,1,65.81,2020-06-27,11:41,Sweden
9,Dress Shirt,10,66.62,2020-07-24,03:23,Slovakia
9,Dress Shoes,17,61.14,2020-05-06,05:27,Belgium
7,Sneakers,1,70.02,2020-09-24,20:14,Czech Republic
10,Sneakers,7,51.39,2020-08-07,12:53,Croatia
4,Long Sleeve Shirt,3,91.14,2020-11-24,04:02,Croatia
3,Sports Shoes,16,59.39,2020-06-20,02:03,Latvia
1,Long Sleeve Shirt,13,71.91,2020-09-11,06:20,Malta
1,Long Sleeve Shirt,12,88.45,2020-12-21,08:21,Czech Republic
10,Polo Shirt,12,97.96,2020-09-16,12:28,Belgium
8,Long Sleeve Shirt,12,33.32,2020-10-19,11:07,Cyprus
2,Sneakers,17,86.77,2020-08-19,14:41,Netherlands
1,Long Sleeve Shirt,4,14.76,2020-06-25,13:51,Latvia
6,Long Sleeve Shirt,13,53.77,2020-12-11,08:51,Portugal
3,Casual Shoes,19,61.31,2020-06-02,14:04,Lithuania
5,Sports Shoes,8,25.47,2020-11-02,07:53,Greece
9,Sports Shoes,6,93.21,2020-05-03,11:28,Belgium
7,Jeans,14,96.58,2020-03-03,22:32,Finland
6,Long Sleeve Shirt,7,40.93,2020-10-17,11:46,Poland
1,Sports Shoes,9,52.78,2020-08-22,19:15,Slovakia
6,Sports Shoes,8,76.49,2020-10-01,02:05,Czech Republic
9,Jeans,5,34.73,2020-10-03,09:22,Netherlands
6,Polo Shirt,15,55.9,2020-06-10,20:09,Ireland
2,Sports Shoes,8,48.97,2020-09-12,08:11,Croatia
5,Jeans,20,79.36,2020-07-26,12:21,Estonia
4,Casual Shoes,10,63.88,2020-10-01,23:13,Estonia
7,Sports Shoes,6,21.11,2020-04-28,04:39,Cyprus
8,Dress Pants,13,59.42,2020-10-14,23:01,Romania
3,Dress Pants,20,29.15,2020-11-12,17:53,Estonia
8,Sweatpants,8,73.56,2020-09-14,01:59,France
1,Dress Pants,18,49.1,2020-04-01,04:50,Luxembourg
9,Jeans,14,37.14,2020-01-08,16:24,Czech Republic
5,Sneakers,9,16.18,2020-10-21,00:26,Netherlands
8,Long Sleeve Shirt,20,52.75,2020-06-24,04:54,Italy
1,Dress Shirt,14,11.09,2020-04-09,18:18,Netherlands
10,Long Sleeve Shirt,1,80.72,2020-07-21,15:34,Czech Republic
7,Sweatpants,15,30.29,2020-08-24,00:10,Germany
3,Dress Shirt,9,35.5,2020-10-23,20:21,Liechtenstein
6,Long Sleeve Shirt,9,24.38,2020-10-10,07:04,Sweden
5,Sweatpants,11,91.71,2020-06-23,00:36,Malta
8,Dress Pants,18,87.92,2020-10-10,21:51,Netherlands
8,Sports Shoes,14,71.69,2020-11-15,23:01,Malta
5,Dress Shirt,1,13.23,2020-09-07,08:49,Belgium
8,Long Sleeve Shirt,19,19.85,2020-06-23,10:22,Finland
10,Sports Shoes,10,67.27,2020-07-08,22:23,Germany
3,Dress Shoes,8,35.2,2020-03-27,03:34,Italy
3,Dress Shoes,3,60.15,2020-07-25,03:36,Liechtenstein
3,Dress Shirt,7,23.96,2020-11-07,19:30,Romania
1,Dress Shirt,15,14.66,2020-06-11,11:40,Norway
7,Casual Shoes,8,75.99,2020-10-14,05:34,Spain
4,Sweatpants,2,41.77,2020-02-02,23:49,Cyprus
7,Dress Shirt,19,54.03,2020-10-11,03:39,Slovakia
5,Sweatpants,14,91.48,2020-02-09,07:38,Lithuania
6,Dress Shirt,8,57.44,2020-03-21,01:30,Denmark
8,Dress Shoes,18,77.51,2020-01-02,09:17,Iceland
10,Polo Shirt,2,83.15,2020-02-18,09:33,France
2,Dress Pants,18,30.62,2020-07-24,13:20,Belgium
7,Sweatpants,11,77.3,2020-05-01,12:03,Greece
5,Sneakers,9,27.81,2020-11-23,13:24,Liechtenstein
9,Sweatpants,12,22.87,2020-06-11,13:44,Malta
8,Dress Shirt,17,12.41,2020-01-29,06:50,Malta
9,Sweatpants,19,15.89,2020-04-07,16:51,Netherlands
7,Dress Shoes,19,78.53,2020-10-21,06:11,Finland
4,Dress Shoes,6,25.82,2020-07-07,03:18,Slovakia
1,Long Sleeve Shirt,18,94.9,2020-05-04,16:45,Austria
4,Sweatpants,18,96.26,2020-05-14,14:53,Hungary
6,Sweatpants,3,78.57,2020-04-12,04:23,Luxembourg
1,Sneakers,3,16.22,2020-12-02,08:22,Netherlands
1,Dress Pants,3,95.87,2020-10-26,03:00,Malta
5,Dress Shoes,20,70.63,2020-02-24,04:50,Romania
6,Sports Shoes,16,10.11,2020-05-27,07:09,Italy
1,Polo Shirt,14,21.79,2020-09-01,00:10,Czech Republic
2,Long Sleeve Shirt,20,85.03,2020-11-15,18:08,Czech Republic
5,Sports Shoes,10,81.3,2020-11-02,20:26,Latvia
5,Sports Shoes,20,98.52,2020-09-03,04:57,Czech Republic
10,Dress Shoes,19,72.56,2020-01-26,11:04,Malta
3,Jeans,6,57.58,2020-09-27,13:56,Hungary
2,Dress Shirt,8,13.32,2020-01-18,04:31,Croatia
9,Polo Shirt,5,30.42,2020-10-19,00:09,Norway
6,Long Sleeve Shirt,4,17.29,2020-07-28,09:34,Denmark
3,Sports Shoes,3,14.78,2020-03-05,02:20,Austria
5,Sweatpants,14,99.09,2020-09-01,00:29,Netherlands
3,Sneakers,11,54.29,2020-10-23,10:03,Liechtenstein
6,Casual Shoes,10,62.07,2020-03-21,20:04,Liechtenstein
5,Dress Shirt,7,11.94,2020-09-22,09:07,Lithuania
10,Dress Pants,15,16.83,2020-12-25,09:48,Netherlands
1,Casual Shoes,14,53.14,2020-04-28,08:54,Finland
4,Sports Shoes,12,42.26,2020-02-01,02:32,Finland
7,Sneakers,6,43.31,2020-07-11,16:35,Cyprus
7,Sports Shoes,16,34.42,2020-08-07,11:37,Malta
10,Dress Shirt,3,10.15,2020-02-24,00:56,Belgium
2,Dress Pants,13,62.28,2020-11-25,11:32,Greece
4,Dress Shoes,14,19.0,2020-03-16,02:13,Estonia
9,Sports Shoes,6,50.59,2020-04-08,22:20,Hungary
5,Sports Shoes,2,57.69,2020-10-14,12:02,Norway
8,Dress Shoes,8,77.52,2020-08-09,22:40,Hungary
9,Dress Shirt,11,54.39,2020-05-13,05:12,Bulgaria
4,Casual Shoes,9,11.36,2020-02-22,13:20,Czech Republic
6,Casual Shoes,9,11.25,2020-07-21,08:21,Bulgaria
